SESSION START : 1347693632704
SESSION SEED  : 1347693632704
CONFIG FILE : <open file 'C:\Users\joseph\MiscDev\Python\EvoAlg\assign2\dataFiles\G2.dat', mode 'r' at 0x0258d6d8>
SURVIVAL SELECTION: tournament T-SIZE:  3
PARENT SELECTION : tournament T-SIZE:  3
RECOMBINATION: npoint  N-SIZE:  3
MUTATION: BIT FLIP
POPULATION SIZE: 12
OFFSPRING SIZE: 5
RUN: 1
	1	-4.71620050707	-4.50505050505
	6	-4.49292929293	-4.44444444444
	56	-4.4404040404	-4.42424242424
	57	-4.40808080808	-4.32323232323
	125	-4.32047000618	-4.31632653061
	126	-4.31379591837	-4.31
	223	-4.302	-4.27
	533	-4.266	-4.26
	851	-4.258	-4.25
	904	-4.24848484848	-4.24242424242
	905	-4.23696969697	-4.2
	1130	-4.194	-4.17
	1869	-4.162	-4.15
	3836	-4.14626262626	-4.13131313131
	3890	-4.12929292929	-4.12121212121
	4106	-4.11965010934	-4.11340206186
	4107	-4.10813138751	-4.07142857143
	4233	-4.07128427128	-4.07070707071
	4247	-4.05858585859	-4.0101010101
	4248	-4.00808080808	-4.0
	5471	-3.9898989899	-3.94949494949
	5718	-3.9456969697	-3.94
	6077	-3.928	-3.88
	7031	-3.87975757576	-3.87878787879
	7032	-3.87175757576	-3.86
	7389	-3.856	-3.84
	7390	-3.828	-3.81
	8120	-3.8	-3.76
	10000	-3.76	-3.76
RUN: 2
	1	-4.7386282348	-4.73195876289
	7	-4.71413843888	-4.64285714286
	15	-4.6354978355	-4.60606060606
	16	-4.60937950938	-4.58585858586
	81	-4.58181818182	-4.56565656566
	82	-4.55151515152	-4.47474747475
	86	-4.4417979798	-4.31
	918	-4.30456565657	-4.28282828283
	919	-4.27412121212	-4.21212121212
	1004	-4.20202020202	-4.16161616162
	1018	-4.15929292929	-4.15
	1323	-4.13	-4.1
	1694	-4.094	-4.07
	2979	-4.066	-4.05
	3305	-4.026	-3.99
	3309	-3.988	-3.98
	3432	-3.978	-3.97
	4658	-3.95	-3.87
	4672	-3.868	-3.86
	7657	-3.85539393939	-3.84848484848
	8115	-3.84078787879	-3.81
	9393	-3.8075959596	-3.79797979798
	9534	-3.79438383838	-3.78
	10000	-3.78	-3.78
RUN: 3
	1	-4.77771877891	-4.62
	14	-4.576	-4.51
	215	-4.502	-4.47
	216	-4.464	-4.44
	258	-4.412	-4.3
	496	-4.29714285714	-4.28571428571
	546	-4.25627705628	-4.21212121212
	756	-4.2056969697	-4.18
	1826	-4.176	-4.17
	2296	-4.164	-4.14
	2625	-4.13648979592	-4.12244897959
	2770	-4.10946938776	-4.09
	3477	-4.088	-4.08
	3478	-4.07208080808	-4.0404040404
	3530	-4.04032323232	-4.04
	4026	-4.028	-4.01
	6974	-4.008	-4.0
	7039	-3.98787878788	-3.93939393939
	7299	-3.93751515152	-3.93
	7565	-3.926	-3.91
	9024	-3.90981818182	-3.90909090909
	9221	-3.90101010101	-3.88888888889
	9548	-3.87711111111	-3.83
	10000	-3.83	-3.83
RUN: 4
	1	-4.76608946609	-4.71428571429
	17	-4.69307805596	-4.60824742268
	37	-4.59459793814	-4.54
	135	-4.508	-4.38
	186	-4.376	-4.37
